District,Code,Party,first_name,last_name,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,biden_2020,trump_2020,dem_house_2020,rep_house_2020,white_%,black_%,latino_%,asian_%,native_%
California's 12th,CA-12,Democratic,Nancy,Pelosi,1987 Special,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,86.09117297,11.8797284,77.63493594,0,48.50298872,5.55653804,11.24305875,31.1896509,0.1998373006
California's 13th,CA-13,Democratic,Barbara,Lee,1998 Special,1946,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,88.93843552,8.989178097,90.36569299,9.634307008,41.96143495,18.71629899,14.08231969,20.76898591,0.4398614822
California's 14th,CA-14,Democratic,Jackie,Speier,2008 Special,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,77.66322833,20.49062209,79.28661985,20.71338015,41.24010818,3.440849444,17.79825704,34.50065111,0.1552639487
California's 15th,CA-15,Democratic,Eric,Swalwell,2012,1980,Man,White - Non-Hispanic,Christian - Protestant,No,Won,71.50295328,26.42387258,70.90466617,29.09533383,41.66787287,6.909493187,17.95661794,29.99731188,0.3442856847
California's 16th,CA-16,Democratic,Jim,Costa,2004,1952,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,58.83598749,38.92479276,59.37830193,40.62169807,33.04426692,7.368708768,47.86989527,9.267104822,0.6671719117
California's 17th,CA-17,Democratic,Ro,Khanna,2016,1976,Man,Asian - Indian,Hindu,No,Won,72.49369839,25.54812757,71.34588479,28.65411521,32.49153064,3.019311273,15.0931344,46.45541754,0.2543658534
California's 18th,CA-18,Democratic,Anna,Eshoo,1992,1942,Woman,White - Armenian,Christian - Chaldean Catholic,No,Won,76.36971295,21.30557997,63.1686615,0,63.66571503,2.090838308,11.6750584,19.49961069,0.209706722
California's 19th,CA-19,Democratic,Zoe,Lofgren,1994,1947,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,70.02828967,27.94080647,71.68231494,28.31768506,33.31855324,3.290682207,30.98329849,29.57707819,0.2470387027
California's 20th,CA-20,Democratic,Jimmy,Panetta,2016,1969,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,72.71918813,25.03186411,76.77618828,23.22381172,53.28393281,2.562700665,34.85761482,6.037411009,0.323391187
California's 21st,CA-21,Republican,David,Valadao,"2020, 2012-2018",1977,Man,White - Portuguese-American,Christian - Roman Catholic,No,Lost,54.37511624,43.50648596,49.55323071,50.44676929,27.46011113,5.725141772,60.68393161,3.82818861,0.599940006
California's 22nd,CA-22,Republican,Devin,Nunes,2002,1973,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,46.24363415,51.64793877,45.77376967,54.22623033,49.28372548,3.146719378,37.60547514,7.657973602,0.5026674318
California's 23rd,CA-23,Republican,Kevin,McCarthy,2006,1965,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,40.4853005,57.10600087,37.85991023,62.14008977,55.07474673,6.767358537,30.45259863,4.652623342,0.7093731983
California's 24th,CA-24,Democratic,Salud,Carbajal,2016,1964,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,60.72154931,36.90138917,58.6634285,41.3365715,66.86504602,2.092869218,23.60780204,4.55646397,0.5031981256
California's 25th,CA-25,Republican,Mike,Garcia,2020 Special,1976,Man,Hispanic - Mexican,Christian - Protestant,No,Won,53.95033343,43.85438469,49.9508767,50.0491233,49.48217549,8.191710606,31.26903767,8.313551667,0.3802281369
California's 26th,CA-26,Democratic,Julia,Brownley,2012,1952,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,61.37612264,36.48884649,60.58485843,39.41514157,55.26150237,2.10694674,33.36994189,6.834781682,0.3316095324
California's 27th,CA-27,Democratic,Judy,Chu,2009 Special,1953,Woman,Asian - Chinese,Unitarian Universalist,No,Won,67.16825698,30.84454454,69.77574547,30.22425453,32.24576886,5.251382761,24.87829636,35.51260539,0.2786236613
California's 28th,CA-28,Democratic,Adam,Schiff,2000,1960,Man,White - Non-Hispanic,Jewish,No,Won,70.88976537,27.24222669,72.6566706,27.3433294,61.55694953,3.250127153,20.30057942,12.19371117,0.251313913
California's 29th,CA-29,Democratic,Tony,Cardenas,2012,1963,Man,Hispanic - Mexican,Christian - Protestant,No,Won,74.09511192,23.6692939,56.61218143,0,27.93907305,5.14290733,56.41012773,9.154099019,0.1932197435
California's 30th,CA-30,Democratic,Brad,Sherman,1996,1954,Man,White - Non-Hispanic,Jewish,No,Won,68.70172292,29.43658272,69.48278258,30.51721742,58.09883976,5.481148431,21.90649469,12.08443674,0.2200461049
California's 31st,CA-31,Democratic,Pete,Aguilar,2014,1979,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,58.79664324,38.89474004,61.28823632,38.71176368,33.52155131,11.82695267,44.92182939,7.200399079,0.2823269686
California's 32nd,CA-32,Democratic,Grace,Napolitano,1998,1936,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,65.15397539,32.8115699,66.5776101,33.4223899,20.96888889,3.373333333,55.08666667,19.04777778,0.2755555556
California's 33rd,CA-33,Democratic,Ted,Lieu,2014,1969,Man,Asian - Taiwanese,Christian - Roman Catholic,No,Won,69.01574366,29.03645519,67.58019914,32.41980086,69.69616027,3.153827808,11.63176723,12.19937992,0.178392559
California's 34th,CA-34,Democratic,Jimmy,Gomez,2017 Special,1974,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,80.79968659,16.90061014,52.97984865,0,17.8856193,7.434485624,50.31036543,22.32033867,0.3155598265
California's 35th,CA-35,Democratic,Norma,Torres,2014,1965,Woman,Hispanic - Guatemalan,Christian - Roman Catholic,No,Won,65.14284595,32.64289491,69.32996652,30.67003348,20.22913638,7.988368712,61.90636813,7.612678104,0.297760977
California's 36th,CA-36,Democratic,Raul,Ruiz,2012,1972,Man,Hispanic - Mexican,Christian - Protestant - Seventh-Day Adventist,No,Won,55.93535497,42.31381522,60.33945035,39.66054965,53.00477078,4.675566658,36.7564856,3.326235181,0.7586150413
California's 37th,CA-37,Democratic,Karen,Bass,2010,1953,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,84.32517947,13.831786,85.93997053,14.06002947,31.62467794,28.59221888,26.79732221,10.13550661,0.1918868514
California's 38th,CA-38,Democratic,Linda,Sánchez,2002,1969,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,65.57418595,32.26978551,74.34135032,0,21.83361413,4.140453392,56.16003071,16.29523789,0.3742722484
California's 39th,CA-39,Republican,Young,Kim,2020,1962,Woman,Asian - Korean,Christian - Protestant,No,Lost,54.10551843,43.95813646,49.40238464,50.59761536,37.0510436,2.744368671,28.76730729,29.27980988,0.2479851209
California's 40th,CA-40,Democratic,Lucille,Roybal-Allard,1992,1941,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,77.09061205,20.60595026,72.73917406,27.26082594,8.142645328,7.551092157,79.93304902,3.58141881,0.2415126641
California's 41st,CA-41,Democratic,Mark,Takano,2012,1960,Man,Asian - Japanese,Christian - Protestant - Methodist,Gay,Won,61.68278943,36.14148055,64.03019351,35.96980649,30.62110236,11.13205686,49.71887638,6.27239947,0.3890794709
California's 42nd,CA-42,Republican,Ken,Calvert,1992,1953,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,45.34684226,52.73561042,42.86762289,57.13237711,50.61247754,6.28030991,31.16486659,9.057712,0.3748285256
California's 43rd,CA-43,Democratic,Maxine,Waters,1990,1938,Woman,Black - African-American,Christian - Protestant,No,Won,76.92813344,20.93172146,71.68457492,28.31542508,19.94304275,27.80497289,35.24258298,14.15925155,0.2573369627
California's 44th,CA-44,Democratic,Nanette,Barragan,2016,1976,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,78.41701216,19.18146243,67.78475606,0,10.45253067,21.79543346,58.4127925,7.590712298,0.2912070921
California's 45th,CA-45,Democratic,Katie,Porter,2018,1974,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,54.62103764,43.31619537,53.46400314,46.53599686,59.46908635,1.77904339,15.1879917,20.76451566,0.1795453449
California's 46th,CA-46,Democratic,Lou,Correa,2016,1958,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,64.31755793,33.50948794,68.75378509,31.24621491,29.25037976,2.378971006,49.58060894,17.15078264,0.2417277591
California's 47th,CA-47,Democratic,Alan,Lowenthal,2012,1941,Man,White - Non-Hispanic,Jewish,No,Won,62.44855652,35.31614359,63.27187949,36.72812051,40.47974593,8.15210533,25.73297438,23.01034787,0.3323097632
California's 48th,CA-48,Republican,Michelle,Steel,2020,1955,Woman,Asian - Korean,Christian - Protestant,No,Lost,49.72906643,48.24583892,48.94001519,51.05998481,62.49297666,1.354195435,15.23993639,18.39020256,0.2742674298
California's 49th,CA-49,Democratic,Mike,Levin,2018,1978,Man,Hispanic - Mexican / Jewish,Christian - Roman Catholic,No,Won,55.22997967,42.50470086,53.12957625,46.87042375,68.6506588,2.634210756,19.48325582,6.544261149,0.2708974571
California's 50th,CA-50,Republican,Darrell,Issa,"2020, 2000-2018",1953,Man,White - Middle Eastern - Lebanese,Christian - Eastern Orthodox,No,Vacant - Resigned,44.99621078,52.70652581,46.04680041,53.95319959,64.8829632,2.908429448,22.55382094,5.882823275,0.9724748636
California's 51st,CA-51,Democratic,Juan,Vargas,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,66.85864716,30.88420883,68.30475546,31.69524454,19.45331659,8.48376099,60.51438483,9.518511873,0.483282493
California's 52nd,CA-52,Democratic,Scott,Peters,2012,1958,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,63.38669563,34.20266205,61.57580802,38.42419198,64.90334963,3.212539414,12.30452863,16.20161769,0.2860668099
