year,state_abbv,district_id,dem,winning_party,dem_last_name,rep_last_name,dem_margin,lag_dem_margin_lean,lag_dem_margin_lean_2,year_pvi_coef,pvi
2008,LA,LA.2,0.5326,D,LANDRIEU,KENNEDY,0.06519999999999992,-0.12193975926855416,-0.08393345836948059,0.6712876198411282,-0.10944661763898542
2008,MA,MA.2,0.6805,D,KERRY,BEATTY,0.361,0.27956024073144586,0.2906665416305194,0.6712876198411282,0.28321101933474097
2008,ME,ME.2,0.3862,R,ALLEN,COLLINS,-0.22760000000000002,0.11636024073144585,0.04986654163051941,0.6712876198411282,0.09450293863441248
2008,MI,MI.2,0.6493,D,LEVIN,HOOGENDYK,0.2986,0.05916024073144585,0.047566541630519404,0.6712876198411282,0.055349248305134546
2008,MN,MN.2,0.5001,D,FRANKEN,COLEMAN,1.9999999999997797e-4,0.05986024073144585,0.020566541630519408,0.6712876198411282,0.046943915374733795
2008,MS,MS.1,0.4504,R,MUSGROVE,WICKER,-0.09919999999999995,-0.16543975926855414,-0.1772334583694806,0.6712876198411282,-0.16931649417089722
2008,MS,MS.2,0.3856,R,FLEMING,COCHRAN,-0.2288,-0.16543975926855414,-0.1772334583694806,0.6712876198411282,-0.16931649417089722
2008,MT,MT.2,0.7292,D,BAUCUS,KELLEHER,0.4583999999999999,-0.18533975926855414,-0.2782334583694806,0.6712876198411282,-0.21587506820178173
2008,NC,NC.2,0.5437,D,HAGAN,DOLE,0.08739999999999992,-0.10013975926855415,-0.1344334583694806,0.6712876198411282,-0.11141252272447183
2008,NE,NE.2,0.4105,R,KLEEB,JOHANNS,-0.17900000000000005,-0.31223975926855413,-0.3087334583694806,0.6712876198411282,-0.31108719475446645
2008,NH,NH.2,0.5327,D,SHAHEEN,SUNUNU,0.0653999999999999,0.03846024073144585,-0.018533458369480595,0.6712876198411282,0.01972570624592176
2008,NJ,NJ.2,0.5718,D,LAUTENBERG,ZIMMER,0.14359999999999995,0.09206024073144585,0.15906654163051942,0.6712876198411282,0.11408604138562187
2008,NM,NM.2,0.6133,D,UDALL,PEARCE,0.2265999999999999,0.016660240731445848,-0.004533458369480593,0.6712876198411282,0.009693609455609377
2008,OK,OK.2,0.4087,R,RICE,INHOFE,-0.18259999999999998,-0.28673975926855416,-0.22673345836948058,0.6712876198411282,-0.26701494527549025
2008,OR,OR.2,0.5177,D,MERKLEY,SMITH,0.0354000000000001,0.06686024073144585,-4.3345836948059224e-4,0.6712876198411282,0.044739968730285386
2008,RI,RI.2,0.734,D,REED,TINGLE,0.46799999999999997,0.23626024073144586,0.3078665416305194,0.6712876198411282,0.2597981183343527
2008,SC,SC.2,0.4234,R,CONLEY,GRAHAM,-0.1532,-0.14803975926855414,-0.1683334583694806,0.6712876198411282,-0.15471054940224765
2008,SD,SD.2,0.6249,D,JOHNSON,DYKSTRA,0.24980000000000002,-0.19363975926855415,-0.2374334583694806,0.6712876198411282,-0.20803529033598112
2008,TN,TN.2,0.3269,R,TUKE,ALEXANDER,-0.34619999999999995,-0.11903975926855415,-0.044433458369480594,0.6712876198411282,-0.09451574452517071
2008,TX,TX.2,0.4386,R,NORIEGA,CORNYN,-0.12280000000000002,-0.20553975926855414,-0.22423345836948058,0.6712876198411282,-0.21168460959399343
2008,VA,VA.2,0.6585,D,WARNER,GILMORE,0.31699999999999995,-0.05803975926855415,-0.0880334583694806,0.6712876198411282,-0.0678990594897887
2008,WV,WV.2,0.6374,D,ROCKEFELLER IV,WOLFE,0.27479999999999993,-0.10493975926855414,-0.06993345836948059,0.6712876198411282,-0.09343275477946203
2008,WY,WY.1,0.2656,R,CARTER,BARRASSO,-0.4688,-0.38163975926855415,-0.42473345836948057,0.6712876198411282,-0.39580519166986994
2008,WY,WY.2,0.2428,R,ROTHFUSS,ENZI,-0.5144,-0.38163975926855415,-0.42473345836948057,0.6712876198411282,-0.39580519166986994
2010,AL,AL.3,0.3475,R,BARNES,SHELBY,-0.30500000000000005,-0.23333975926855416,-0.1572334583694806,0.6664166412108771,-0.20795196378962555
2010,AR,AR.3,0.3895,R,LINCOLN,BOOZMAN,-0.22099999999999997,-0.07403975926855415,-0.061133458369480594,0.6664166412108771,-0.0697344320650981
2010,AZ,AZ.3,0.3706,R,GLASSMAN,MCCAIN,-0.25880000000000003,-0.08083975926855415,-0.07083345836948059,0.6664166412108771,-0.07750182380558657
2010,CA,CA.3,0.553,D,BOXER,FIORINA,0.1060000000000001,0.12546024073144585,0.11896654163051941,0.6664166412108771,0.1232940507743929
2010,CO,CO.3,0.5086,D,BENNET,BUCK,0.017200000000000104,-0.022639759268554153,-0.0948334583694806,0.6664166412108771,-0.046722375898052476
2010,CT,CT.3,0.5607,D,BLUMENTHAL,MCMAHON,0.12139999999999995,0.13016024073144583,0.1799665416305194,0.6664166412108771,0.1467747938742205
2010,DE,DE.2,0.5858,D,COONS,O'DONNELL,0.17159999999999997,0.10126024073144585,0.1296665416305194,0.6664166412108771,0.11073610999613329
2010,FL,FL.3,0.2923,R,MEEK,RUBIO,-0.4154,-0.025839759268554155,-0.005233458369480593,0.6664166412108771,-0.018965840202421872
2010,GA,GA.3,0.4008,R,THURMOND,ISAKSON,-0.19840000000000002,-0.14243975926855415,-0.1248334583694806,0.6664166412108771,-0.13656659027878926
2010,HI,HI.3,0.7762,D,INOUYE,CAVASSO,0.5524,0.11276024073144585,0.19136654163051942,0.6664166412108771,0.13898199460734728
2010,IA,IA.3,0.341,R,CONLIN,GRASSLEY,-0.31799999999999995,0.017960240731445847,-0.0018334583694805924,0.6664166412108771,0.011357392102497562
2010,ID,ID.3,0.2594,R,SULLIVAN,CRAPO,-0.48119999999999996,-0.36183975926855416,-0.4221334583694806,0.6664166412108771,-0.3819527339284619
2010,IL,IL.3,0.4915,R,GIANNOULIAS,KIRK,-0.017000000000000015,0.12886024073144586,0.11846654163051941,0.6664166412108771,0.12539307567511532
2010,IN,IN.3,0.4229,R,ELLSWORTH,COATS,-0.1542,-0.18383975926855414,-0.16523345836948058,0.6664166412108771,-0.17763300692000011
2010,KS,KS.3,0.2734,R,JOHNSTON,MORAN,-0.45320000000000005,-0.23263975926855412,-0.2234334583694806,0.6664166412108771,-0.22956869049261786
2010,KY,KY.3,0.4426,R,CONWAY,PAUL,-0.11480000000000001,-0.17553975926855414,-0.15973345836948058,0.6664166412108771,-0.17026704032460965
2010,LA,LA.3,0.3998,R,MELANCON,VITTER,-0.20040000000000002,-0.12193975926855416,-0.08393345836948059,0.6664166412108771,-0.10926148975949114
2010,MD,MD.3,0.635,D,MIKULSKI,WARGOTZ,0.27,0.15596024073144585,0.1634665416305194,0.6664166412108771,0.1584642177974406
2010,MO,MO.3,0.4283,R,CARNAHAN,BLUNT,-0.14339999999999997,-0.04773975926855416,-0.039333458369480594,0.6664166412108771,-0.04493555717964917
2010,NC,NC.3,0.4399,R,MARSHALL,BURR,-0.12019999999999997,-0.10013975926855415,-0.1344334583694806,0.6664166412108771,-0.11157956659994472
2010,ND,ND.3,0.2257,R,POTTER,HOEVEN,-0.5486,-0.25353975926855415,-0.2996334583694806,0.6664166412108771,-0.2689158502336564
2010,NH,NH.3,0.3801,R,HODES,AYOTTE,-0.2398,0.03846024073144585,-0.018533458369480595,0.6664166412108771,0.019448091155542187
2010,NV,NV.3,0.5303,D,REID,ANGLE,0.06059999999999999,-0.0017397592685541516,-0.042233458369480593,0.6664166412108771,-0.015247783424437281
2010,NY,NY.1,0.642,D,GILLIBRAND,DIOGUARDI,0.28400000000000003,0.22126024073144585,0.2663665416305194,0.6664166412108771,0.23630695208791164
2010,NY,NY.3,0.6731,D,SCHUMER,TOWNSEND,0.34620000000000006,0.22126024073144585,0.2663665416305194,0.6664166412108771,0.23630695208791164
2010,OH,OH.3,0.4094,R,FISHER,PORTMAN,-0.18120000000000003,0.003460240731445848,-0.04193345836948059,0.6664166412108771,-0.011682341882503984
2010,OK,OK.3,0.2701,R,ROGERS,COBURN,-0.4598,-0.28673975926855416,-0.22673345836948058,0.6664166412108771,-0.2667226558661304
2010,OR,OR.3,0.5932,D,WYDEN,HUFFMAN,0.1863999999999999,0.06686024073144585,-4.3345836948059224e-4,0.6664166412108771,0.044412182560014224
2010,PA,PA.3,0.4899,R,SESTAK,TOOMEY,-0.020199999999999996,0.04986024073144585,0.037866541630519404,0.6664166412108771,0.04585934230105272
2010,SC,SC.3,0.3102,R,GREENE,DEMINT,-0.37960000000000005,-0.14803975926855414,-0.1683334583694806,0.6664166412108771,-0.154809399576897
2010,UT,UT.3,0.3473,R,GRANATO,LEE,-0.3054,-0.44223975926855413,-0.4396334583694806,0.6664166412108771,-0.4413703406606261
2010,VT,VT.3,0.6754,D,LEAHY,BRITTON,0.3508,0.23066024073144584,0.1036665416305194,0.6664166412108771,0.1882972560403036
2010,WA,WA.3,0.5236,D,MURRAY,ROSSI,0.04719999999999991,0.09756024073144585,0.05376654163051941,0.6664166412108771,0.08295139149155861
2010,WI,WI.3,0.4755,R,FEINGOLD,JOHNSON,-0.049000000000000044,0.02846024073144585,-0.0028334583694805925,0.6664166412108771,0.018021183476422648
2010,WV,WV.1,0.552,D,MANCHIN,RAESE,0.10400000000000009,-0.10493975926855414,-0.06993345836948059,0.6664166412108771,-0.09326223983585849
2012,AZ,AZ.1,0.4841,R,CARMONA,FLAKE,-0.03180000000000005,-0.16171534557160538,-0.08083975926855415,0.661545662580626,-0.13434265259600278
2012,CA,CA.1,0.6252,D,FEINSTEIN,EMKEN,0.25039999999999996,0.17018465442839462,0.12546024073144585,0.661545662580626,0.15504748262412385
2012,CT,CT.1,0.56,D,MURPHY,MCMAHON,0.1200000000000001,0.1509846544283946,0.13016024073144583,0.661545662580626,0.14393654128844685
2012,DE,DE.1,0.6964,D,CARPER,WADE,0.39280000000000004,0.17738465442839463,0.10126024073144585,0.661545662580626,0.1516200164291555
2012,FL,FL.1,0.5667,D,NELSON,MACK,0.13339999999999996,-0.047015345571605395,-0.025839759268554155,0.661545662580626,-0.03984837653993942
2012,HI,HI.1,0.626,D,HIRONO,LINGLE,0.252,0.3844846544283946,0.11276024073144585,0.661545662580626,0.2925183480299259
2012,IN,IN.1,0.5306,D,DONNELLY,MOURDOCK,0.06119999999999992,-0.0650153455716054,-0.18383975926855414,0.661545662580626,-0.10523198377865178
2012,MA,MA.1,0.5378,D,WARREN,BROWN,0.07559999999999989,0.18848465442839463,0.27956024073144586,0.661545662580626,0.21930958164567485
2012,MD,MD.1,0.6801,D,CARDIN,BONGINO,0.3602000000000001,0.1831846544283946,0.15596024073144585,0.661545662580626,0.17397043352896288
2012,ME,ME.1,0.6324,D,KING,SUMMERS,0.2647999999999999,0.10118465442839461,0.11636024073144585,0.661545662580626,0.10632089743554435
2012,MI,MI.1,0.6075,D,STABENOW,HOEKSTRA,0.21500000000000008,0.0919846544283946,0.05916024073144585,0.661545662580626,0.08087508923941439
2012,MN,MN.1,0.6812,D,KLOBUCHAR,BILLS,0.36240000000000006,0.029184654428394602,0.05986024073144585,0.661545662580626,0.03956693966554464
2012,MO,MO.1,0.5836,D,MCCASKILL,AKIN,0.16720000000000002,-0.0768153455716054,-0.04773975926855416,0.661545662580626,-0.06697458727432637
2012,MS,MS.1,0.415,R,GORE,WICKER,-0.17000000000000004,-0.2082153455716054,-0.16543975926855414,0.661545662580626,-0.19373776285168093
2012,MT,MT.1,0.5199,D,TESTER,REHBERG,0.03980000000000006,-0.0988153455716054,-0.18533975926855414,0.661545662580626,-0.12809990868000598
2012,ND,ND.1,0.5046,D,HEITKAMP,BERG,0.009200000000000097,-0.1636153455716054,-0.25353975926855415,0.661545662580626,-0.19405065342723188
2012,NE,NE.1,0.4223,R,KERREY,FISCHER,-0.15539999999999998,-0.2276153455716054,-0.31223975926855413,0.661545662580626,-0.2562568454389092
2012,NJ,NJ.1,0.5992,D,MENENDEZ,KYRILLOS,0.1983999999999999,0.0818846544283946,0.09206024073144585,0.661545662580626,0.08532862574844746
2012,NM,NM.1,0.5298,D,HEINRICH,WILSON,0.0596000000000001,0.0778846544283946,0.016660240731445848,0.661545662580626,0.05716298605670416
2012,NV,NV.1,0.4936,R,BERKLEY,HELLER,-0.012800000000000034,0.05228465442839461,-0.0017397592685541516,0.661545662580626,0.03399985728612366
2012,NY,NY.1,0.7328,D,GILLIBRAND,LONG,0.4656,0.23988465442839463,0.22126024073144585,0.661545662580626,0.2335811408307695
2012,OH,OH.1,0.5314,D,BROWN,MANDEL,0.06279999999999997,-0.028715345571605398,0.003460240731445848,0.661545662580626,-0.0178253788283263
2012,PA,PA.1,0.5463,D,CASEY,SMITH,0.09260000000000002,0.029184654428394602,0.04986024073144585,0.661545662580626,0.03618239629135089
2012,RI,RI.1,0.6496,D,WHITEHOUSE,HINCKLEY,0.2991999999999999,0.20858465442839458,0.23626024073144586,0.661545662580626,0.21795157665328652
2012,TN,TN.1,0.3191,R,CLAYTON,CORKER,-0.3618,-0.2280153455716054,-0.11903975926855415,0.661545662580626,-0.19113208571451837
2012,TX,TX.1,0.4185,R,SADLER,CRUZ,-0.16300000000000003,-0.1941153455716054,-0.20553975926855414,0.661545662580626,-0.197981987939811
2012,UT,UT.1,0.3146,R,HOWELL,HATCH,-0.3708,-0.3659153455716054,-0.44223975926855413,0.661545662580626,-0.39174767443832836
2012,VA,VA.1,0.5296,D,KAINE,ALLEN,0.05919999999999992,-0.01171534557160539,-0.05803975926855415,0.661545662580626,-0.027394044315747157
